freq	fetCharTestingSmartSim1..S(1,1)
1.00000000000000000E9	1.01079968462564307E0 / -5.92194095403889698E0
2.00000000000000000E9	9.81227220811638290E-1 / -1.23756181446488389E1
3.00000000000000000E9	1.00314973549980824E0 / -2.08979854341078308E1
4.00000000000000000E9	1.01339132512168639E0 / -2.19129009690442578E1
5.00000000000000000E9	9.41716207881098377E-1 / -3.18883934908075384E1
6.00000000000000000E9	1.12910786577994160E0 / -4.39142769798916532E1
7.00000000000000000E9	9.63955448202044352E-1 / -3.91870088649007098E1
8.00000000000000000E9	8.58340460899439961E-1 / -5.57187474378458436E1
9.00000000000000000E9	1.21500301546940470E0 / -4.99677198503086295E1
1.00000000000000000E10	8.80231090602876876E-1 / -5.78197714974616694E1
1.10000000000000009E10	8.79532226383467375E-1 / -1.07264204722812995E2
1.19999999999999996E10	1.07151310560688784E0 / -6.49580137636352628E1
1.30000000000000004E10	7.06426233741983900E-1 / -7.85826153939222216E1
1.39999999999999991E10	2.06954766314190985E0 / -9.17338536281543782E1
1.50000000000000000E10	9.40863823111502739E-1 / -8.21390906526512943E1
1.60000000000000009E10	2.90001987540217510E-1 / -1.31333513597630125E2
1.69999999999999996E10	1.45452620476229044E0 / -9.77876829132459235E1
1.80000000000000004E10	7.39700231157627996E-1 / -9.66071547813873011E1
1.89999999999999991E10	2.65868604650344187E0 / 1.54804755150925311E2
2.00000000000000000E10	1.22835075314720332E0 / -1.13200607809745701E2
2.10000000000000009E10	2.93690073078301150E-1 / -9.30246012506660058E1
2.20000000000000018E10	2.24844747602961714E0 / -1.56366664107696574E2
2.29999999999999982E10	1.04788280809998713E0 / -1.22963640948516417E2
2.39999999999999991E10	1.14970864460052247E0 / 8.69825126205454957E1
2.50000000000000000E10	1.83352972550881543E0 / -1.65458567908120702E2
2.60000000000000009E10	7.66511918541144510E-1 / -1.04108211082402025E2
2.70000000000000018E10	1.88557017154211204E0 / 1.28370920343428985E2
2.79999999999999982E10	1.84557163985431716E0 / -1.78105217295351048E2
2.89999999999999991E10	1.05997045775290633E0 / 3.36660945640602938E1
3.00000000000000000E10	1.70540768569719492E0 / 1.24161383532271108E2
3.10000000000000009E10	2.65623566837855973E0 / 1.73464697332502249E2
3.20000000000000018E10	1.29146557921615690E0 / 8.18157732652824343E1
3.29999999999999982E10	1.54334745988991995E0 / 1.07684016909841329E2
3.39999999999999991E10	5.27091186405026324E0 / 3.30189690506734390E1
3.50000000000000000E10	1.16034975821470421E0 / 8.07354278590714358E1
3.60000000000000009E10	1.44333206423281046E0 / 9.12566592852087588E1
3.70000000000000018E10	1.04506128063007830E0 / 4.33767788483703320E1
3.79999999999999982E10	1.08680300689758558E0 / 7.25879464874299174E1
3.89999999999999991E10	1.56016663946240963E0 / 7.50913136058146158E1
4.00000000000000000E10	9.01248879095545163E-1 / 5.61727319818498749E1


freq	fetCharTestingSmartSim1..S(2,2)
1.00000000000000000E9	8.30055565903538195E-1 / -7.26552715234578450E0
2.00000000000000000E9	8.66865465787504519E-1 / -1.73863867571493858E1
3.00000000000000000E9	8.34264020159720943E-1 / -2.50247058288608004E1
4.00000000000000000E9	8.97058583044044866E-1 / -3.38314714981402620E1
5.00000000000000000E9	8.06637430805494482E-1 / -3.95986366212705221E1
6.00000000000000000E9	8.84579965045666228E-1 / -6.54378824962805528E1
7.00000000000000000E9	8.68809919483229365E-1 / -5.21417535764341089E1
8.00000000000000000E9	6.03136676626329660E-1 / -7.00254675985994890E1
9.00000000000000000E9	1.20514639501877174E0 / -7.30919551107218801E1
1.00000000000000000E10	7.00613256093978087E-1 / -7.23901618505113298E1
1.10000000000000009E10	7.69171747865873190E-1 / -1.69543570377414987E2
1.19999999999999996E10	9.77486387736129814E-1 / -8.53486975614010746E1
1.30000000000000004E10	3.49991676104957428E-1 / -9.73064198800057945E1
1.39999999999999991E10	2.45415273624284014E0 / -1.24194809778797155E2
1.50000000000000000E10	6.81382379465748400E-1 / -1.01942283857936777E2
1.60000000000000009E10	5.26668417133077149E-1 / 8.71249518237964438E1
1.69999999999999996E10	1.35774747987386757E0 / -1.24874587169076845E2
1.80000000000000004E10	2.65535255115152591E-1 / -1.01893324419684839E2
1.89999999999999991E10	4.01751653368604966E0 / 1.17545406854455625E2
2.00000000000000000E10	8.23339102076140072E-1 / -1.36143062096107137E2
2.10000000000000009E10	5.95598609751048436E-1 / 2.16886179445525062E1
2.20000000000000018E10	2.19084248859508834E0 / 1.71645599306223673E2
2.29999999999999982E10	3.96803771274099670E-1 / -1.12122160161181994E2
2.39999999999999991E10	2.28034577459531329E0 / 5.32296993515151851E1
2.50000000000000000E10	1.18314543812595496E0 / 1.70814253303387176E2
2.60000000000000009E10	1.03571736222043564E0 / -3.36592924811155214E1
2.70000000000000018E10	1.95529710522452649E0 / 9.37052411520682682E1
2.79999999999999982E10	8.79345441722495025E-1 / -1.62097069634752811E2
2.89999999999999991E10	2.59413302797048262E0 / 1.79293243156683912E1
3.00000000000000000E10	1.08464830264664891E0 / 1.02142558349178891E2
3.10000000000000009E10	2.88590141253488186E0 / -1.42717060077970870E2
3.20000000000000018E10	1.47055795264217659E0 / 4.53663656898411460E1
3.29999999999999982E10	9.41941032259951427E-1 / 1.23306009389914562E2
3.39999999999999991E10	1.06926583062817215E1 / 4.34932111219295692E1
3.50000000000000000E10	7.20357686597834412E-1 / 6.31423997282931460E1
3.60000000000000009E10	1.44591507369276617E0 / 1.16495661943242901E2
3.70000000000000018E10	1.47145436372046290E0 / 4.68201633908793546E0
3.79999999999999982E10	8.12272706009702539E-1 / 8.54071636125947364E1
3.89999999999999991E10	2.16221260069275800E0 / 9.09700987024633001E1
4.00000000000000000E10	5.41231766805403325E-1 / 4.75439923849746116E1


